UID          PID    PPID  C STIME TTY          TIME CMD
lukec       1231     845  0 13:40 ?        00:00:00 /usr/libexec/gvfsd-metadata
lukec       1236       1  0 13:40 ?        00:00:00 /usr/bin/spice-vdagent
root        1265       1  0 13:40 ?        00:00:00 /usr/sbin/spice-vdagentd
colord      1272       1  0 13:40 ?        00:00:00 /usr/libexec/colord
lukec       1373     845  0 13:40 ?        00:00:00 /usr/libexec/bluetooth/obexd
lukec       1837     845  0 13:40 ?        00:00:00 /usr/libexec/xdg-desktop-portal
lukec       1842     845  0 13:40 ?        00:00:00 /usr/libexec/xdg-document-portal
lukec       1846     845  0 13:40 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1853    1842  0 13:40 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
lukec       1858     845  0 13:40 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
root        7081       2  0 13:50 ?        00:00:00 [kworker/0:0-mm_percpu_wq]
root        9223       2  0 13:54 ?        00:00:00 [kworker/1:0]
root        9646       2  0 13:55 ?        00:00:00 [kworker/0:1-mm_percpu_wq]
lukec       9981     845  0 13:56 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/xfconf/xfconfd
lukec      11586    1219  0 13:58 pts/0    00:00:00 ps -e -f
